Unnamed: 0,Accessory,Air Compressor,Air Curtain,Air Dryer,Air Handling Unit,Air Receiver,Air Rotation Unit,Air Scoop,Air Separator,Baseboard Radiation,Boiler,Bypass Filter Feeder,Cabinet Unit Heater,Chiller,Compressor - Refrig.,Computer Room Air Conditioning,Condensing Unit,Condensing Unit - Refrig.,Convector,Cooling Tower,Coupon Rack,DI/RO Equipment,Direct Outside Air Unit,Domestic HW Generator,Domestic Water Booster Pump,Domestic Water Heater,Ductless Split System,Energy Recovery Ventilator,Evaporator,Expansion Tank,Fan,Fan Coil Unit,Fan Coil Unit - Refrig.,Fan Powered Box,Fixture,Furnace,Glycol Feeder,Grease Interceptor,Grease Trap,Heat Exchanger,Heat Exchanger - Refrig.,Heat Pump,Heat Trace,Humidifier,Infrared Gas Fired Heater,Make-up Air Unit,Pot Feeder,PTAC,Pump,Radiant Panel,Return Air Unit,Roof Top Unit,Sand/Oil Interceptor,Tank,Unit Heater,Unit Ventilator,Vacuum,VAV Box,Venturi VAV Box,Water Softener
nan,Alarm Panel,Air Cooled,Electric,Air Dryer,"Chilled Water, Heating Water",Air Receiver,No Cooling,All,All,Electric,Hot Water,All,Electric,Air Cooled,Air Cooled,Direct Expansion,Air Cooled,Air Cooled,Hot Water,Closed Circuit - Indoor,Black Iron,Deionization Unit,Indoor,Hot Water,Duplex,Electric,Direct Expansion,Indoor,Direct Expansion,All,Destratification,Direct Expansion,Direct Expansion,Electric,Domestic Water,Electric,All,Grease Interceptor,Grease Trap,Hydronic,All,Air Cooled,Electric,Electric,Electric,Gas-Fired,Bladder,Hot Water,Condensate,Electric,Indoor,"Chilled Water, Heating Water",Sand/Oil Interceptor,Acid Neutralization,Electric,Hot Water,Vacuum,Electric,Electric,Water Softener
nan,Basket Strainer,Water Cooled,Hot Water,nan,"DX, Gas-Fired",nan,nan,nan,nan,Hot Water,Steam,nan,Hot Water,Water Cooled,Water Cooled,Water Cooled,Evaporative,Evaporative,nan,Closed Circuit - Outdoor,PVC,Inline,Outdoor,nan,Triplex,Gas-Fired,nan,Outdoor,nan,Bladder,Dust Collector,Hot Water,nan,Hot Water,Other,Gas-Fired,nan,nan,nan,Steam,nan,Water Cooled,nan,Steam,Gas-Fired,nan,Without Bladder,nan,Electronic Metering,Hot Water,nan,"DX, Gas-Fired",nan,"Domestic Water, No HX",Gas-Fired,nan,nan,Hot Water,Hot Water,nan
nan,Blow Down,nan,No Heat,nan,"DX, Heating Water",nan,nan,nan,nan,nan,nan,nan,Steam,nan,nan,nan,Evaporative Fluid Cooler,Water Cooled,nan,Open Cell,nan,Ozone Generator,nan,nan,nan,Steam,nan,nan,nan,Without Bladder,General Exhaust,nan,nan,nan,Roof Drains,nan,nan,nan,nan,nan,nan,Water-to-Water,nan,nan,nan,nan,nan,nan,End Suction,nan,nan,"DX, Heating Water",nan,Fuel Oil,Hot Water,nan,nan,No Heat,No Heat,nan
nan,Condensate Lift Station,nan,nan,nan,Other,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Water Cooled,nan,nan,nan,nan,Reverse Osmosis,nan,nan,nan,nan,nan,nan,nan,nan,Grease Exhaust,nan,nan,nan,Waste & Vent,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Fuel Oil,nan,nan,Heat Pump,nan,Horizontal,Steam,nan,nan,nan,nan,nan
nan,Condenser Water Filtration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RO Water,nan,nan,nan,nan,nan,nan,nan,nan,Isolation Exhaust,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Inline,nan,nan,Other,nan,Pressure Vessel,nan,nan,nan,nan,nan,nan
nan,Control Damper,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Kitchen Exhaust,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sewage Ejector Pump,nan,nan,nan,nan,Propane,nan,nan,nan,nan,nan,nan
nan,Cooler,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lab Exhaust,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Split Case,nan,nan,nan,nan,Steam,nan,nan,nan,nan,nan,nan
nan,Deaerator,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Smoke Exhaust,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Steam,nan,nan,nan,nan,Vertical,nan,nan,nan,nan,nan,nan
nan,DI Filtration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Supply Fan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sump Pump,nan,nan,nan,nan,With Heat Exchanger,nan,nan,nan,nan,nan,nan
