OmniClass_Code,OmniClass_Title,Description
11-11 11 00,Convention and Exhibition Facility,
11-11 11 11,Convention Center,
11-11 11 17,Conference Facility,
11-11 14 00,Meeting Facility,
11-11 14 11,Club or Organization Building,
11-11 14 14,Ceremonial Hall,
11-11 21 00,Entertainment Assembly Facility,
11-11 21 11,Cinema,
11-11 21 17,Performing Arts Facility,
11-11 21 17-1,Auditorium and Theater Facility,
11-11 21 17-2,Outdoor Theater,
11-11 21 21,Casino,
11-11 21 22,Theme Park,
11-11 21 23,Fair or Circus Ground,
11-11 21 24,Race Track,
11-11 21 24-1,Horse Racing Track,
11-11 21 24-2,Dog Racing Track,
11-11 21 24-3,Automobile Racing Track,
11-11 21 27,Arena,
11-12 00 00,Education Facility,
11-12 11 00,Daycare or Preschool Facility,
11-12 11 11,Daycare Facility,
11-12 11 14,Preschool Facility,
11-12 21 00,K through 12 Learning Facility,
11-12 21 11,Kindergarten,
11-12 21 14,Elementary School,
11-12 21 21,Middle School,
11-12 21 31,High School,
11-12 24 00,Higher Education Facility,
11-12 24 11,University,
11-12 24 13,Business School,
11-12 24 14,Science College,
11-12 24 17,Agricultural School,
11-12 24 21,Art School,
11-12 24 24,Vocational College,
11-12 24 27,Liberal Arts College,
11-12 24 31,Military Academy,
11-12 24 34,Professional College,
11-12 29 00,Library,
11-12 29 11,General Purpose Library,
11-12 29 14,Children’s Library,
11-12 29 17,Special Library,
11-12 29 21,Academic Library,
11-13 00 00,Public Service Facility,
11-13 11 00,Government Facility,
11-13 11 11,Administrative Government Facility,
11-13 11 14,Regulatory Agency Facility,
11-13 11 17,Courthouse,
11-13 11 21,Legislative Facility,
11-13 11 23,Public Health and Safety Facility,
11-13 11 23-1,National Center,
11-13 11 23-2,Regional Fusion Center,
11-13 11 24,Police Station,
11-13 11 24-1,Booking Facility,
11-13 11 24-2,Custody Transfer Facility,
11-13 11 24-3,Placement Facility,
11-13 11 27,Post Office,
11-13 11 31,Fire Station,
11-13 11 33,Detention Center,
11-13 11 33-1,Prison,
11-13 11 33-2,Jail,
11-13 11 33-3,Immigration Detention Center,
11-13 11 33-4,Juvenile Detention Center,
11-13 11 34,Embassy,
11-13 11 37,"Public Grounds Fencing, Gate, or Guard Tower",
11-13 21 00,Military Facility,
11-13 21 11,Military Headquarters,
11-13 21 11-1,Pentagon,
11-13 21 12,Administrative Military Facility,
11-13 21 14,Military Training Facility,
11-13 21 17,Military Research Facility,
11-13 21 21,Military Base,
11-13 21 24,Military Field Facility,
11-13 21 27,Joint Services Facility,
11-13 21 31,Remote Delivery Facility,
11-13 21 34,Military Ground Operational Facility Other Than Building,
11-13 21 37,Military Operational Support Facility Other Than Building,
11-13 21 41,Military Locker Room Facility,
11-13 21 44,Military Exchange Support Facility,
11-13 21 47,Military Exchange Warehouse,
11-13 21 51,Simulation Facility,
11-13 21 54,Military Training Support Facility,
11-13 21 57,Military Training Facility Other Than Building,
11-13 21 61,"Impact, Maneuver, and Training Area",
11-13 21 64,Small Arms Range,
11-13 21 67,Weapon Range,
11-13 21 71,Team and Unit Range,
11-13 21 74,Explosives and Flame Range,
11-13 21 77,Military Maintenance Facility,
11-13 21 77-1,Guided Missile Maintenance Facility,
11-13 21 77-2,Weapons and Spares Maintenance Facility,
11-13 21 77-3,"Ammunition, Explosives, and Toxic Maintenance Facility",
11-13 21 77-4,Miscellaneous Items and Equipment Maintenance Facility,
11-13 21 77-5,Installation Repair and Operation Maintenance Facility,
11-13 27 00,Public Welfare Facility,
11-13 27 11,Homeless Shelter,
11-13 27 14,Food Bank,
11-13 27 17,Forestry Guard Station,
11-13 27 21,Air Raid/Fallout Shelter,
11-13 27 23,Miscellaneous Personnel Shelter,
11-13 27 26,Public Restroom/Shower,
11-13 29 00,Juvenile Facility,
11-13 29 11,Orphanage,
11-13 29 14,Foster Home,
11-14 00 00,Cultural Facility,
11-14 15 00,Monument and Memorial,
11-14 21 00,Museum,
11-14 21 11,Art Museum,
11-14 21 14,History Museum,
11-14 21 17,Science and Technology Museum,
11-14 21 21,Children’s Museum,
11-14 21 24,Special Purpose Museum,
11-14 24 00,Religious Institution,
11-14 24 11,Religious Facility,
11-14 24 15,Religious Education Facility,
11-14 24 18,Religious Monument or Icon,
11-14 24 21,Religious Pilgrimage Site,
11-14 24 24,Religious Retreat,
11-15 00 00,Recreation Facility,
11-15 11 00,Outdoor Recreation Facility,
11-15 11 11,Nature Preserve,
11-15 11 14,Hunting Preserve,
11-15 11 21,Fishing Preserve,
11-15 11 27,Target Range,
11-15 11 34,Outdoor Winter Sports Facility,
11-15 11 34-1,Ski Slope,
11-15 11 34-2,Outdoor Skating Rink,
11-15 11 34-3,Snowmobile Course,
11-15 11 36,Golf Facility,
11-15 11 36-1,Golf Driving Range,
11-15 11 36-2,Golf Course,
11-15 11 36-3,Miniature Golf Course,
11-15 11 36-4,Golf Pitch and Putt Course,
11-15 11 39,Playground,
11-15 11 41,Outdoor Racquet Sports Facility,
11-15 11 41-1,Outdoor Tennis Facility,
11-15 11 41-2,Outdoor Squash Facility,
11-15 11 41-3,Outdoor Racquetball Facility,
11-15 11 44,Outdoor Water Recreation Facility,
11-15 11 44-1,Outdoor Swimming Pool,
11-15 11 44-2,Outdoor Water Park,
11-15 11 47,Outdoor Team Sports Facility,
11-15 11 47-1,Outdoor Football Field,
11-15 11 47-2,Outdoor Soccer Field,
11-15 11 47-3,Outdoor Baseball or Softball Diamond,
11-15 11 47-4,Outdoor Basketball Court,
11-15 11 52,Outdoor Sports Training Facility,
11-15 11 55,Pavilion,
11-15 11 58,Animal Recreation Facility,
11-15 11 58-1,Zoo/Nature Facility,
11-15 11 58-2,Wildlife Management Area,
11-15 11 98,Outdoor Multipurpose Recreation Facility,
11-15 21 00,Indoor Recreation Facility,
11-15 21 09,Indoor Team Sports Facility,
11-15 21 09-1,Indoor Football Field,
11-15 21 09-2,Indoor Soccer Field,
11-15 21 09-3,Indoor Baseball or Softball Diamond,
11-15 21 11,Indoor Team Court Sports Facility,
11-15 21 11-1,Indoor Basketball Court,
11-15 21 11-2,Indoor Volleyball Court,
11-15 21 14,Indoor Ice Skating Rink,
11-15 21 21,Indoor Water Recreation Facility,
11-15 21 21-1,Indoor Swimming Pool,
11-15 21 21-2,Indoor High Diving Facility,
11-15 21 21-3,Indoor Water Park,
11-15 21 24,Indoor Racquet Sports Facility,
11-15 21 24-1,Indoor Tennis Facility,
11-15 21 24-2,Indoor Squash Facility,
11-15 21 24-3,Indoor Racquetball Facility,
11-15 21 28,Indoor Sports Training Facility,
11-15 21 31,Indoor Individual Athletic Recreation Facility,
11-15 21 31-1,Fitness and Training Facility,
11-15 21 31-2,Martial Arts Facility,
11-15 21 31-3,Boxing Facility,
11-15 21 31-4,Gymnastics Facility,
11-15 21 37,Non-Athletic Indoor Recreation Facility,
11-15 21 37-1,Bowling Alley,
11-15 21 37-2,Billiards Facility,
11-15 21 37-3,Amusement Arcade,
11-15 21 37-4,Social Club Facility,
11-15 21 98,Indoor Multipurpose Recreation Facility,
11-16 00 00,Housing Facility,
11-16 11 00,Single Family Residence,
11-16 11 11,Studio Family Residence,
11-16 11 14,One-Bedroom Family Residence,
11-16 11 17,Multiple Bedroom Family Residence,
11-16 15 00,Movable Housing Facility,
11-16 15 11,Family Housing Trailer Site,
11-16 15 13,Family Housing Trailer/Relocatable,
11-16 21 00,Multiple Family Residences,
11-16 21 11,Duplex,
11-16 21 14,Co-housing Multiple Family Residence,
11-16 21 17,Small Complex Multiple Family Residence,
11-16 21 21,Large Complex Multiple Family Residence,
11-16 21 25,Government Subsidized Residence,
11-16 21 29,LIHTC Tax Credit Housing,
11-16 27 00,Dormitory,
11-16 27 11,Single-Gender Dormitory,
11-16 27 14,Mixed-Gender Dormitory,
11-16 27 18,Student Apartment,
11-16 27 22,Fraternity/Sorority House,
11-16 31 00,Special Care Residence,
11-16 31 14,Physical Disability Care Residence,
11-16 31 17,Behavioral Disability Care Residence,
11-16 42 00,Senior Housing,
11-16 42 11,Senior Independent Living Residence,
11-16 42 14,Senior Multiple Family Independent Living Residence,
11-16 42 17,Senior Assisted Living Residence,
11-16 42 21,Senior Assisted Living Facility,
11-17 00 00,Retail Facility,
11-17 05 00,Office Showroom,
