OmniClass_Code,OmniClass_Title,Description
11-13 11 23,Public Health and Safety Facility,nan
11-13 27 23,Miscellaneous Personnel Shelter,nan
11-13 27 26,Public Restroom/Shower,nan
11-13 29 00,Juvenile Facility,nan
11-13 29 11,Orphanage,nan
11-13 29 14,Foster Home,nan
11-14 00 00,Cultural Facility,nan
11-14 15 00,Monument and Memorial,nan
11-14 21 00,Museum,nan
11-14 21 11,Art Museum,nan
11-14 21 14,History Museum,nan
11-14 21 17,Science and Technology Museum,nan
11-14 21 21,Children’s Museum,nan
11-14 21 24,Special Purpose Museum,nan
11-14 24 00,Religious Institution,nan
11-14 24 11,Religious Facility,nan
11-14 24 15,Religious Education Facility,nan
11-14 24 18,Religious Monument or Icon,nan
11-14 24 21,Religious Pilgrimage Site,nan
11-14 24 24,Religious Retreat,nan
11-15 00 00,Recreation Facility,nan
11-15 11 00,Outdoor Recreation Facility,nan
11-15 11 11,Nature Preserve,nan
11-15 11 14,Hunting Preserve,nan
11-15 11 21,Fishing Preserve,nan
11-15 11 27,Target Range,nan
11-15 11 34,Outdoor Winter Sports Facility,nan
11-15 11 34-1,Ski Slope,nan
11-15 11 34-2,Outdoor Skating Rink,nan
11-15 11 34-3,Snowmobile Course,nan
11-15 11 36,Golf Facility,nan
11-15 11 36-1,Golf Driving Range,nan
11-15 11 36-2,Golf Course,nan
11-15 11 36-3,Miniature Golf Course,nan
11-15 11 36-4,Golf Pitch and Putt Course,nan
11-15 11 39,Playground,nan
11-15 11 41,Outdoor Racquet Sports Facility,nan
11-15 11 41-1,Outdoor Tennis Facility,nan
11-15 11 41-2,Outdoor Squash Facility,nan
11-15 11 41-3,Outdoor Racquetball Facility,nan
11-15 11 44,Outdoor Water Recreation Facility,nan
11-15 11 44-1,Outdoor Swimming Pool,nan
11-15 11 44-2,Outdoor Water Park,nan
11-15 11 47,Outdoor Team Sports Facility,nan
11-15 11 47-1,Outdoor Football Field,nan
11-15 11 47-2,Outdoor Soccer Field,nan
11-15 11 47-3,Outdoor Baseball or Softball Diamond,nan
11-15 11 47-4,Outdoor Basketball Court,nan
11-15 11 52,Outdoor Sports Training Facility,nan
11-15 11 55,Pavilion,nan
11-15 11 58,Animal Recreation Facility,nan
11-15 11 58-1,Zoo/Nature Facility,nan
11-21 12 19,Critical Access Hospital,nan
11-21 12 23,Freestanding Urgent Care Facility,nan
11-21 12 27,Freestanding Cancer Treatment Facility,nan
11-21 12 31,Rehabilitation Hospital,nan
11-21 15 00,Outpatient Care Facility,nan
11-21 15 11,Primary Care Outpatient Care Facility,nan
11-21 15 15,Small Outpatient Care Facility,nan
11-21 15 19,Freestanding Outpatient Diagnostic and Treatment Facility,nan
11-21 15 23,Outpatient Surgery Facility,nan
11-21 15 27,Office Surgery Facility,nan
11-21 15 31,Gastrointestinal Endoscopy Facility,nan
11-21 15 35,Renal Dialysis Center,nan
11-21 15 39,Outpatient Rehabilitation Facility,nan
11-21 15 43,Freestanding Birth Center,nan
11-21 15 47,Adult Day Health Care Facility,nan
11-21 17 00,Medical Office Building (MOB),nan
11-21 22 00,Ambulatory Care Facility,nan
11-21 22 11,Ambulatory Surgery Center,nan
11-21 22 15,Comprehensive Ambulatory Care Center,nan
11-21 25 00,Residential Health Care Facility,nan
11-21 25 11,Residential Nursing Facility,nan
11-21 25 15,Residential Hospice Facility,nan
11-21 25 19,Assisted Living Facility,nan
11-21 28 00,"Mobile, Transportable, Relocatable Health Care Unit",nan
11-21 32 00,"Mental, Behavioral Care Facility",nan
11-21 32 11,Psychiatric Hospital,nan
11-21 32 15,Psychiatric Outpatient Facility,nan
11-21 35 00,Maternity Facility,nan
11-21 38 00,Animal Healthcare Facility,nan
11-21 42 00,Dental Facility,nan
11-21 45 00,Medical Center,nan
11-21 48 00,Medical Warehouse,nan
11-21 52 00,Ambulance Shelter,nan
11-21 55 00,Death Facility,nan
11-21 55 11,Funeral Home,nan
11-21 55 15,Cremation Facility,nan
11-21 55 19,Cemetery,nan
11-21 55 23,Columbarium,nan
11-23 00 00,Hospitality Facility,nan
11-23 12 00,Dining Establishment,nan
11-23 12 11,Military Dining Facility,nan
11-23 12 15,Military Dining Support Facility,nan
11-23 12 19,Military Open Mess and Club Facility,nan
11-23 12 23,Military Exchange Eating Facility,nan
11-23 12 27,Military Non-Exchange Eating Facility,nan
11-23 12 31,Fast Food Restaurant,nan
11-23 12 35,Full Service Restaurant,nan
11-23 12 43,Limited Service Restaurant,nan
11-23 12 47,Student Dining Hall,nan
11-23 15 00,"Tavern, Bar, or Micro-Brewery",nan
11-23 18 00,Nightclub,nan
11-27 55 11,Operations Support Lab,nan
11-51 31 11,Auto Maintenance and Fueling Station,nan
12-21 17 25,Reservoir,nan
13-31 17 00,Training Spaces,nan
13-31 17 11,Computer Lab,nan
13-31 17 13,Woodshop/Metalshop,nan
13-31 17 15,Training Support Space,nan
13-31 17 17,Religious Education Space,nan
13-31 19 00,Study Spaces,nan
13-31 19 13,Study Room,nan
13-31 19 15,Study Service,nan
13-33 00 00,Recreation Spaces,nan
13-33 11 00,Athletic Recreation Spaces,nan
13-33 11 11,Athletic  Spectator Seating,nan
13-33 11 11-1,Bleacher,nan
13-33 11 13,Team Athletic Recreation Spaces,nan
13-33 11 13-1,Baseball Field,nan
13-33 11 13-2,Softball Fields,nan
13-33 11 13-3,Dugouts,nan
13-33 11 13-4,Grass Playing Fields,nan
13-33 11 13-5,Synthetic Fields,nan
13-33 11 13-6,Football Field,nan
13-33 11 13-7,Soccer Field,nan
13-33 11 13-8,Basketball Courts,nan
13-33 11 13-9,Field Light Poles,nan
13-33 11 13-10,Press Box,nan
13-33 11 13-11,Scoreboards,nan
13-33 11 15,Individual Athletic Recreation Spaces,nan
13-33 11 15-1,Hard Playing Surfaces,nan
13-33 11 15-2,Tennis Courts,nan
13-33 11 15-3,Volleyball Court,nan
13-33 11 15-4,Golf Course,nan
13-33 11 15-5,Driving Range,nan
13-33 11 15-6,Golf Course Support Space,nan
13-33 11 15-7,Skating Rink,nan
13-33 11 15-8,Boxing Ring,nan
13-33 11 15-9,Wrestling Mat,nan
13-33 11 15-10,Diving Board,nan
13-33 11 15-11,Bowling Lane,nan
13-33 11 15-12,Dart Throwing Area,nan
13-33 11 15-13,Circuit Training Course Area,nan
13-33 11 15-14,Running Tracks,nan
