OmniClass_Code,OmniClass_Title,Description
11-13 11 23,Public Health and Safety Facility,A facility that provides public health and safety services.
11-13 27 23,Miscellaneous Personnel Shelter,A shelter that provides temporary housing for various personnel.
11-13 27 26,Public Restroom/Shower,A public restroom and shower facility.
11-13 29 00,Juvenile Facility,A facility that houses and cares for juvenile offenders or at-risk youth.
11-13 29 11,Orphanage,A residential facility that provides care and housing for orphaned children.
11-13 29 14,Foster Home,A residential facility that provides temporary care and housing for foster children.
11-14 00 00,Cultural Facility,A facility that houses cultural and artistic activities and exhibits.
11-14 15 00,Monument and Memorial,"A structure or site that commemorates a significant person, event, or achievement."
11-14 21 00,Museum,"A facility that houses collections and exhibits related to art, history, science, or other topics."
11-14 21 11,Art Museum,A museum that focuses on the display and interpretation of art and artistic works.
11-14 21 14,History Museum,A museum that focuses on the display and interpretation of historical artifacts and information.
11-14 21 17,Science and Technology Museum,A museum that focuses on the display and interpretation of scientific and technological advancements.
11-14 21 21,Children’s Museum,A museum that is designed specifically for children and their educational and recreational needs.
11-14 21 24,Special Purpose Museum,"A museum that focuses on a specific topic or theme, such as a particular culture, industry, or subject matter."
11-14 24 00,Religious Institution,"A facility that houses religious activities, worship, and education."
11-14 24 11,Religious Facility,"A building or structure used for religious worship, ceremonies, and activities."
11-14 24 15,Religious Education Facility,A facility that provides educational and training programs related to a particular religion or faith.
11-14 24 18,Religious Monument or Icon,A structure or site that is significant or sacred to a particular religion or faith.
11-14 24 21,Religious Pilgrimage Site,A site that is visited by religious pilgrims or devotees for spiritual or religious purposes.
11-14 24 24,Religious Retreat,A facility that provides temporary lodging and retreat for religious or spiritual purposes.
11-15 00 00,Recreation Facility,A facility that provides recreational activities and amenities for the public.
11-15 11 00,Outdoor Recreation Facility,An outdoor facility that provides opportunities for recreational activities in a natural setting.
11-15 11 11,Nature Preserve,A protected area of land or water that is set aside for the preservation of natural habitats and wildlife.
11-15 11 14,Hunting Preserve,A designated area for hunting and wildlife management.
11-15 11 21,Fishing Preserve,A designated area for fishing and aquatic recreation.
11-15 11 27,Target Range,A facility that provides a safe and controlled environment for target shooting and firearms training.
11-15 11 34,Outdoor Winter Sports Facility,An outdoor facility that provides opportunities for winter sports and activities.
11-15 11 34-1,Ski Slope,A facility that provides a designated slope or area for downhill skiing and snowboarding.
11-15 11 34-2,Outdoor Skating Rink,An outdoor facility that provides a designated area for ice skating and other winter sports.
11-15 11 34-3,Snowmobile Course,A designated area or course for snowmobile riding and recreation.
11-15 11 36,Golf Facility,A facility that provides opportunities for golf-related activities and amenities.
11-15 11 36-1,Golf Driving Range,A facility that provides a designated area for practicing and improving golf skills.
11-15 11 36-2,Golf Course,A facility that provides a designated golf course for playing the game of golf.
11-15 11 36-3,Miniature Golf Course,A facility that provides a miniature golf course for recreational and entertainment purposes.
11-15 11 36-4,Golf Pitch and Putt Course,A facility that provides a shorter golf course for practicing and recreational play.
11-15 11 39,Playground,A designated outdoor area that provides play equipment and activities for children.
11-15 11 41,Outdoor Racquet Sports Facility,An outdoor facility that provides courts and amenities for racquet sports.
11-15 11 41-1,Outdoor Tennis Facility,An outdoor facility that provides tennis courts and amenities for playing tennis.
11-15 11 41-2,Outdoor Squash Facility,An outdoor facility that provides courts and amenities for playing squash.
11-15 11 41-3,Outdoor Racquetball Facility,An outdoor facility that provides courts and amenities for playing racquetball.
11-15 11 44,Outdoor Water Recreation Facility,An outdoor facility that provides opportunities for water-based recreational activities.
11-15 11 44-1,Outdoor Swimming Pool,An outdoor facility that provides a designated swimming pool for recreational use.
11-15 11 44-2,Outdoor Water Park,An outdoor facility that provides a designated water park with various water-based attractions.
11-15 11 47,Outdoor Team Sports Facility,An outdoor facility that provides designated fields and courts for team sports.
11-15 11 47-1,Outdoor Football Field,An outdoor facility that provides a designated field for playing American football.
11-15 11 47-2,Outdoor Soccer Field,An outdoor facility that provides a designated field for playing soccer.
11-15 11 47-3,Outdoor Baseball or Softball Diamond,An outdoor facility that provides a designated diamond for playing baseball or softball.
11-15 11 47-4,Outdoor Basketball Court,An outdoor facility that provides a designated court for playing basketball.
11-15 11 52,Outdoor Sports Training Facility,An outdoor facility that provides a designated area for sports training and practice.
11-15 11 55,Pavilion,An outdoor structure or pavilion that provides a covered and sheltered space for various activities.
11-15 11 58,Animal Recreation Facility,nan
11-15 11 58-1,Zoo/Nature Facility,nan
11-21 12 19,Critical Access Hospital,nan
11-21 12 23,Freestanding Urgent Care Facility,nan
11-21 12 27,Freestanding Cancer Treatment Facility,nan
11-21 12 31,Rehabilitation Hospital,nan
11-21 15 00,Outpatient Care Facility,nan
11-21 15 11,Primary Care Outpatient Care Facility,nan
11-21 15 15,Small Outpatient Care Facility,nan
11-21 15 19,Freestanding Outpatient Diagnostic and Treatment Facility,nan
