MF,ITEM,Column1,Column2
22 00 00,Plumbing,D20,PLUMBING
22 01 00,Operation and Maintenance of Plumbing,,
22 01 10,Operation and Maintenance of Plumbing Piping and Pumps,,
22 01 10 16,Video Piping Inspections,,
22 01 10 51,Plumbing Piping Cleaning,,
22 01 10 61,Plumbing Piping Repairs,,
22 01 10 62,Plumbing Piping Relining,,
22 01 30,Operation and Maintenance of Plumbing Equipment,,
22 01 40,Operation and Maintenance of Plumbing Fixtures,,
22 01 50,Operation and Maintenance of Pool and Fountain Plumbing Systems,,
22 01 60,Operation and Maintenance of Laboratory and Healthcare Systems,,
22 05 00,Common Work Results for Plumbing,D2060.90,Common Work Results for Plumbing
22 05 05,Selective Demolition for Plumbing,,
22 05 13,Common Motor Requirements for Plumbing Equipment,,
22 05 16,Expansion Fittings and Loops for Plumbing Piping,D2030.90,Expansion Fittings and Loops
22 05 17,Sleeves and Sleeve Seals for Plumbing Piping,,
22 05 19,Meters and Gauges for Plumbing Piping,D2030.90,Meters and Gages
22 05 23,General-Duty Valves for Plumbing Piping,D2060.90,Valves
22 05 29,Hangers and Supports for Plumbing Piping and Equipment,D2060.90,Hangers and Supports
22 05 33,Heat Tracing for Plumbing Piping,D2060.90,Heat Tracing
22 05 48,Vibration and Seismic Controls for Plumbing Piping and Equipment,D2060.90,Vibration and Seismic Controls
22 05 48 13,Vibration Controls for Plumbing Piping and Equipment,,
22 05 53,Identification for Plumbing Piping and Equipment,D2060.90,Identification
22 05 73,Facility Drainage Manholes,D2030.20,Stormwater Drainage Manholes
22 05 76,Facility Drainage Piping Cleanouts,D2030.20,Stormwater Drainage Piping Cleanouts
22 06 00,Schedules for Plumbing,,
22 06 10,Schedules for Plumbing Piping and Pumps,,
22 06 10 13,Plumbing Pump Schedule,,
22 06 12,Schedules for Facility Potable Water Storage,,
22 06 15,Schedules for General Service Compressed-Air Equipment,,
22 06 30,Schedules for Plumbing Equipment,,
22 06 30 13,Domestic Water Heater Schedule,,
22 06 40,Schedules for Plumbing Fixtures,,
22 06 40 13,Plumbing Fixture Schedule,,
22 06 50,Schedules for Pool and Fountain Plumbing Systems,,
