Lookup (for Uploader),Trade,Precon System,Operations System,Title,Drawing Abbreviation,Precon Tag,System Type ID,Asset Category,Equip Name ID,Sub System Type,Sub System ID,Sub System Class,Class ID,Equipment Size,Unit,Asset ID,Notes,Service ID,Service Life
AccessoryAlarm PanelAll1,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Alarm Panel,AP,AP,P,Accessory,ACC,Alarm Panel,AP,All,nan,1.0,EA,P-ACC-AP--1,,nan,20
AccessoryBasket StrainerAll4,PF,Cooling Tower Plant,Condenser Water,Basket Strainer,BS,BS,H,Accessory,ACC,Basket Strainer,BS,All,nan,4.0,INCHES,H-ACC-BS--4,,nan,25
AccessoryBasket StrainerAll8,PF,Cooling Tower Plant,Condenser Water,Basket Strainer,BS,BS,H,Accessory,ACC,Basket Strainer,BS,All,nan,8.0,INCHES,H-ACC-BS--8,,nan,25
AccessoryBlow DownFloor Mounted100,PF,Steam Boiler Plant,Steam,Boiler Blow Down,nan,Other,H,Accessory,ACC,Blow Down,BLW,Floor Mounted,FLR,100.0,GAL,H-ACC-BLW-FLR-100,,nan,20
AccessoryBlow DownFloor Mounted1000,PF,Steam Boiler Plant,Steam,Boiler Blow Down,nan,Other,H,Accessory,ACC,Blow Down,BLW,Floor Mounted,FLR,1000.0,GAL,H-ACC-BLW-FLR-1000,,nan,20
AccessoryBlow DownFloor Mounted2000,PF,Steam Boiler Plant,Steam,Boiler Blow Down,nan,Other,H,Accessory,ACC,Blow Down,BLW,Floor Mounted,FLR,2000.0,GAL,H-ACC-BLW-FLR-2000,,nan,20
AccessoryBlow DownFloor Mounted250,PF,Steam Boiler Plant,Steam,Boiler Blow Down,nan,Other,H,Accessory,ACC,Blow Down,BLW,Floor Mounted,FLR,250.0,GAL,H-ACC-BLW-FLR-250,,nan,20
AccessoryBlow DownFloor Mounted500,PF,Steam Boiler Plant,Steam,Boiler Blow Down,nan,Other,H,Accessory,ACC,Blow Down,BLW,Floor Mounted,FLR,500.0,GAL,H-ACC-BLW-FLR-500,,nan,20
AccessoryCondensate Lift StationAll100,PF,Steam Boiler Plant,Steam,Condensate Lift Station,CLS,Other,H,Accessory,ACC,Condensate Lift Station,CLS,All,nan,100.0,GAL,H-ACC-CLS--100,,HACCCLS,15
AccessoryCondensate Lift StationAll1000,PF,Steam Boiler Plant,Steam,Condensate Lift Station,CLS,Other,H,Accessory,ACC,Condensate Lift Station,CLS,All,nan,1000.0,GAL,H-ACC-CLS--1000,,HACCCLS,15
AccessoryCondensate Lift StationAll500,PF,Steam Boiler Plant,Steam,Condensate Lift Station,CLS,Other,H,Accessory,ACC,Condensate Lift Station,CLS,All,nan,500.0,GAL,H-ACC-CLS--500,,HACCCLS,15
AccessoryCondenser Water FiltrationAll1000,PF,Cooling Tower Plant,Condenser Water,Condenser Water Filtration,CWF,CWF,H,Accessory,ACC,Condenser Water Filtration,CWF,All,nan,1000.0,GAL,H-ACC-CWF--1000,,nan,15
