number,title,mf_number,explanation,parent_number
D20,PLUMBING,22 00 00,,
D2010,Domestic Water Distribution,,,D20
D2010.10,Facility Potable-Water Storage Tanks,22 12 00,Tanks for storage of potable water serving a facility,D2010
D2010.20,Domestic Water Equipment,22 11 23,Equipment for domestic water distribution system,D2010
D2010.20,Domestic Water Pumps,22 11 23,Equipment for domestic water distribution system,D2010
D2010.20,Domestic Water Softeners,22 31 00,Equipment for the softening of domestic water,D2010
D2010.20,Domestic Water Filtration Equipment,22 32 00,Equipment for the filtering of domestic water,D2010
D2010.20,Electric Domestic Water Heaters,22 33 00,Equipment to heat domestic water,D2010
D2010.20,Fuel-Fired Domestic Water Heaters,22 34 00,Equipment to heat domestic water,D2010
D2010.20,Domestic Water Heat Exchangers,22 35 00,Equipment to heat domestic water by means of heat exchange,D2010
D2010.40,Domestic Water Piping,22 11 16,Piping valves and specialties for domestic water distribution,D2010
D2010.40,Domestic Water Piping Specialties,22 11 19,Water service from structure to utility water service line,D2010
D2010.60,Plumbing Fixtures,22 40 00,Terminal devices on the domestic water plumbing system,D2010
D2010.60,Residential Water Closets,22 41 13,Residential plumbing fixtures,D2010
D2010.60,Residential Urinals,22 41 13,Residential plumbing fixtures,D2010
D2010.60,Residential Bidets,22 41 13,Residential plumbing fixtures,D2010
D2010.60,Residential Lavatories,22 41 16,Residential plumbing fixtures,D2010
D2010.60,Residential Sinks,22 41 16,Residential plumbing fixtures,D2010
D2010.60,Residential Bathtubs,22 41 19,Residential plumbing fixtures,D2010
D2010.60,Residential Showers,22 41 23,Residential plumbing fixtures,D2010
D2010.60,Residential Disposers,22 41 26,Residential plumbing fixtures,D2010
D2010.60,Residential Laundry Trays,22 41 36,Residential plumbing fixtures,D2010
D2010.60,Residential Plumbing Fixture Trim,22 41 39,Residential plumbing fixtures,D2010
D2010.60,Commercial Water Closets,22 42 13,Commercial plumbing fixtures,D2010
D2010.60,Commercial Urinals,22 42 13,Commercial plumbing fixtures,D2010
D2010.60,Commercial Bidets,22 42 13,Commercial plumbing fixtures,D2010
D2010.60,Commercial Lavatories,22 42 16,Commercial plumbing fixtures,D2010
D2010.60,Commercial Sinks,22 42 16,Commercial plumbing fixtures,D2010
D2010.60,Commercial Bathtubs,22 42 19,Commercial plumbing fixtures,D2010
D2010.60,Commercial Showers,22 42 23,Commercial plumbing fixtures,D2010
D2010.60,Commercial Disposers,22 42 26,Commercial plumbing fixtures,D2010
D2010.60,Shampoo Bowls,22 42 29,Commercial plumbing fixtures,D2010
D2010.60,Wash Fountains,22 42 33,Commercial plumbing fixtures,D2010
D2010.60,Commercial Laundry Trays,22 42 36,Commercial plumbing fixtures,D2010
D2010.60,Commercial Plumbing Fixture Trim,22 42 39,Commercial plumbing fixtures,D2010
D2010.60,Flushometers,22 42 43,Commercial plumbing fixtures,D2010
D2010.60,Healthcare Water Closets,22 43 13,Healthcare plumbing fixtures,D2010
D2010.60,Healthcare Sinks,22 43 16,Healthcare plumbing fixtures,D2010
D2010.60,Healthcare Bathtubs,22 43 19,Healthcare plumbing fixtures,D2010
D2010.60,Healthcare Showers,22 43 23,Healthcare plumbing fixtures,D2010
D2010.60,Healthcare Faucets,22 43 39,Healthcare plumbing fixtures,D2010
D2010.60,Healthcare Flushometers,22 43 43,Healthcare plumbing fixtures,D2010
D2010.60,Emergency Showers,22 45 13,Emergency plumbing fixtures,D2010
D2010.60,Eyewash Equipment,22 45 16,Emergency plumbing fixtures,D2010
D2010.60,Eye/Face Wash Equipment,22 45 26,Emergency plumbing fixtures,D2010
D2010.60,Hand-Held Emergency Drench Hoses,22 45 29,Emergency plumbing fixtures,D2010
D2010.60,Combination Emergency Fixture Units,22 45 33,Emergency plumbing fixtures,D2010
D2010.60,Emergency Fixture Water-Tempering Equipment,22 45 36,Emergency plumbing fixtures,D2010
D2010.60,Security Water Closets,22 46 13,Security plumbing fixtures,D2010
D2010.60,Security Urinals,22 46 13,Security plumbing fixtures,D2010
D2010.60,Security Lavatories,22 46 16,Security plumbing fixtures,D2010
D2010.60,Security Sinks,22 46 16,Security plumbing fixtures,D2010
D2010.60,Security Plumbing Fixture Trim,22 46 39,Security plumbing fixtures,D2010
D2010.60,Security Flushometers,22 46 43,Security plumbing fixtures,D2010
D2010.60,Security Plumbing Fixture Supports,22 46 53,Security plumbing fixtures,D2010
D2010.60,Drinking Fountains,22 47 13,Drinking fountains and water coolers,D2010
D2010.60,Remote Water Coolers,22 47 23,Drinking fountains and water coolers,D2010
D2010.90,Mechanical Metal Supports,05 45 13,Common work results for plumbing,D2010
D2010.90,Common Work Results for Plumbing,22 05 00,Common work results for plumbing,D2010
D2010.90,Expansion Fittings and Loops,22 05 16,Common work results for plumbing,D2010
D2010.90,Meters and Gages,22 05 19,Common work results for plumbing,D2010
D2010.90,Valves,22 05 23,Common work results for plumbing,D2010
D2010.90,Hangers and Supports,22 05 29,Common work results for plumbing,D2010
D2010.90,Heat Tracing,22 05 33,Common work results for plumbing,D2010
D2010.90,Vibration and Seismic Controls,22 05 48,Common work results for plumbing,D2010
D2010.90,Identification,22 05 53,Common work results for plumbing,D2010
D2010.90,Insulation,22 07 00,Common work results for plumbing,D2010
D2010.90,Instrumentation and Controls,22 09 00,Common work results for plumbing,D2010
D2020,Sanitary Drainage,,,D20
D2020.10,Sanitary Waste Interceptors,22 13 23,Interceptors and separators,D2020
D2020.10,Sanitary Waste Separators,22 13 26,Interceptors and separators,D2020
D2020.10,Sanitary Sewerage Pumps,22 13 29,Sewerage pumps,D2020
D2020.10,Packaged Sewerage Pump Units,22 13 33,Sewerage pumps,D2020
D2020.10,Packaged Submersible Sewerage Pump Units,22 13 36,Sewerage pumps,D2020
D2020.10,Facility Packaged Sewerage Pumping Stations,22 13 43,Sewerage pumps,D2020
D2020.10,Facility Septic Tanks,22 13 53,Septic tanks,D2020
D2020.30,Sanitary Sewerage Piping,22 13 13,Sanitary waste and vent piping systems,D2020
D2020.30,Sanitary Waste and Vent Piping,22 13 16,Sanitary piping to utility sewer,D2020
D2020.30,Sanitary Waste Piping Specialties,22 13 19,Sanitary waste piping specialties,D2020
D2020.30,Sanitary Drains,22 13 19.13,Sanitary drains,D2020
D2020.30,Floor Drains,22 13 19.23,Floor drains,D2020
D2020.30,Grease Removal Devices,22 13 19.26,Grease removal devices,D2020
D2020.30,Backwater Valves,22 13 19.33,Backwater valves,D2020
D2020.30,Air-Admittance Valves,22 13 19.36,Air-admittance valves,D2020
D2020.30,Sanitary Drainage Manholes,22 05 73,Sanitary drainage manholes,D2020
D2020.30,Sanitary Drainage Piping Cleanouts,22 05 76,Sanitary drainage piping cleanouts,D2020
D2020.30,Fats Oils and Grease Disposal Systems,22 13 19.23,Fats oils and grease disposal systems,D2020
D2020.90,Sanitary Drainage Components,05 45 13,Facility stormwater drainage and gray water systems,D2020
D2020.90,Mechanical Metal Supports,05 45 13,Common work results for sanitary drainage,D2020
D2020.90,Common Work Results for Plumbing,22 05 00,Common work results for sanitary drainage,D2020
