Equipment Tag,Project Name,Area Name,Item,Unit,Qty,Capacity,Field Labor,Material Cost ($),Equipment Cost ($),hrs/qty,Mat $/qty,EQ $/qty,EQ $/Cap
AS,3615 Delgany Office Tower,Office,"HW Specials - AS, Air Separator",gpm,1,400,12,,$10177,12.00,,$10177,$25.44
BBR,3615 Delgany Office Tower,Office,"BBH, Baseboard Radiation Heaters",lf,9,94,47,,$17446,5.22,,$1938,$185.59
CU,3615 Delgany Office Tower,Office,"CUs, Condensing Units",ea,1,,,,$2148,,,$2148,NA
CU,3615 Delgany Office Tower,Retail,"CU, Condensing Units",ea,5,,,,$10739,,,$2148,NA
CUH,3615 Delgany Office Tower,Garage (AG),"CUH, Cabinet Unit Heater",ea,2,,8,,$6314,3.75,,$3157,NA
CUH,3615 Delgany Office Tower,Garage (AG),"ECUH, Electric Cabinet Unit Heater",ea,4,,14,,$14562,3.50,,$3641,NA
CUH,3615 Delgany Office Tower,Garage (BG),"CUH, Cabinet Unit Heater",ea,2,,7,,$0,3.50,,$0,NA
CUH,3615 Delgany Office Tower,Office,"CUHs, Cabinet Unit Heaters",ea,5,,19,,$15784,3.70,,$3157,NA
DBP,3615 Delgany Office Tower,Garage (BG),"DWBP, Domestic Water Booster Pump",gpm,1,190,33,$905,$33495,33.00,$905,$33495,$176.29
DMW,3615 Delgany Office Tower,Garage (AG),"Hose Bibb, HB-1",ea,6,,6,$0,$1511,1.00,$0,$252,NA
DMW,3615 Delgany Office Tower,Garage (BG),"Hose Bibb, HB-1",ea,4,,4,$0,$1007,1.00,$0,$252,NA
DMW,3615 Delgany Office Tower,Office,"Hose Bibb, HB-1",ea,3,,3,$0,$755,1.00,$0,$252,NA
DMW,3615 Delgany Office Tower,Office,"wall hydrant, WH-1",ea,3,,3,$0,$885,1.00,$0,$295,NA
DMW,3615 Delgany Office Tower,Office,"Wall Hydrant, WH-2",ea,14,,14,$0,$5862,1.00,$0,$419,NA
DMW,3615 Delgany Office Tower,Retail,"Hose Bibb, HB-1",ea,3,,3,$0,$755,1.00,$0,$252,NA
DMW/WV,3615 Delgany Office Tower,Office,"Electric Water Cooler, EWC-1",ea,8,,32,$0,$33229,4.00,$0,$4154,NA
DMW/WV,3615 Delgany Office Tower,Office,"Ice maker Box, IMB-1",ea,2,,2,$0,$58,1.00,$0,$29,NA
DMW/WV,3615 Delgany Office Tower,Office,"Lavatory, L-1",ea,50,,125,$0,$55290,2.50,$0,$1106,NA
