OmniClass_Code,OmniClass_Title,Description
11-11 11 00,Convention and Exhibition Facility,"A facility designed for conventions, exhibitions, and other large gatherings."
11-11 11 11,Convention Center,"A large facility for hosting conventions, conferences, and other events."
11-11 11 17,Conference Facility,"A facility for hosting conferences, meetings, and other gatherings."
11-11 14 00,Meeting Facility,"A facility for hosting meetings, conferences, and other small gatherings."
11-11 14 11,Club or Organization Building,"A building used by a club, organization, or other group for their activities."
11-11 14 14,Ceremonial Hall,A facility for hosting ceremonial events and functions.
11-11 21 00,Entertainment Assembly Facility,"A facility for entertainment and assembly, such as cinemas, theaters, and arenas."
11-11 21 11,Cinema,A building used for showing movies and other filmed entertainment.
11-11 21 17,Performing Arts Facility,"A facility for hosting live performances, such as plays, concerts, and dance shows."
11-11 21 17-1,Auditorium and Theater Facility,A facility with an auditorium or theater for hosting live performances.
11-11 21 17-2,Outdoor Theater,"An outdoor facility for hosting live performances, such as concerts or plays."
11-11 21 21,Casino,"A facility for gambling and gaming, such as a casino."
11-11 21 22,Theme Park,"A facility with rides, attractions, and entertainment for visitors."
11-11 21 23,Fair or Circus Ground,"A facility for hosting fairs, circuses, and other outdoor events."
11-11 21 24,Race Track,"A facility for hosting racing events, such as horse, dog, or auto racing."
11-11 21 24-1,Horse Racing Track,A facility for hosting horse racing events.
11-11 21 24-2,Dog Racing Track,A facility for hosting dog racing events.
11-11 21 24-3,Automobile Racing Track,A facility for hosting automobile racing events.
11-11 21 27,Arena,A large indoor facility for hosting sporting events and other gatherings.
11-12 00 00,Education Facility,"A facility for education, such as schools, colleges, and libraries."
11-12 11 00,Daycare or Preschool Facility,A facility for providing daycare and preschool services.
11-12 11 11,Daycare Facility,A facility for providing daycare services for young children.
11-12 11 14,Preschool Facility,A facility for providing preschool education for young children.
11-12 21 00,K through 12 Learning Facility,A facility for providing education from kindergarten through 12th grade.
11-12 21 11,Kindergarten,A facility for providing kindergarten education.
11-12 21 14,Elementary School,A facility for providing elementary school education.
11-12 21 21,Middle School,A facility for providing middle school education.
11-12 21 31,High School,A facility for providing high school education.
11-12 24 00,Higher Education Facility,"A facility for providing higher education, such as colleges and universities."
11-12 24 11,University,A facility for providing university-level education.
11-12 24 13,Business School,A facility for providing business education and training.
11-12 24 14,Science College,A facility for providing education in the sciences.
11-12 24 17,Agricultural School,A facility for providing agricultural education and training.
11-12 24 21,Art School,A facility for providing education in the arts.
11-12 24 24,Vocational College,A facility for providing vocational and technical education.
11-12 24 27,Liberal Arts College,A facility for providing a liberal arts education.
11-12 24 31,Military Academy,A facility for providing military education and training.
11-12 24 34,Professional College,A facility for providing education in a specific professional field.
11-12 29 00,Library,A facility for providing library services to the public.
11-12 29 11,General Purpose Library,A general-purpose library for the public.
11-12 29 14,Children’s Library,A library focused on providing services and resources for children.
11-12 29 17,Special Library,A specialized library focused on a particular subject or field.
11-12 29 21,Academic Library,A library focused on providing resources and services for an academic institution.
11-13 00 00,Public Service Facility,"A facility for providing public services, such as government offices and agencies."
11-13 11 00,Government Facility,A facility for housing government administrative offices and agencies.
11-13 11 11,Administrative Government Facility,A facility for housing government regulatory agencies and offices.
11-13 11 14,Regulatory Agency Facility,A facility for housing a courthouse and related judicial functions.
11-13 11 17,Courthouse,A facility for housing legislative bodies and government decision-making.
11-13 11 21,Legislative Facility,"A facility for housing public health and safety services, such as police and fire departments."
11-13 11 23-1,National Center,A national-level facility that serves as a central hub for coordinating emergency response and security efforts.
11-13 11 23-2,Regional Fusion Center,A regional-level facility that collects and analyzes intelligence to support law enforcement and homeland security.
11-13 11 24,Police Station,"A facility that houses a police department and provides services such as booking, holding, and processing of suspects."
11-13 11 24-1,Booking Facility,A facility within a police station used for booking and processing arrested individuals.
11-13 11 24-2,Custody Transfer Facility,A facility within a police station used for transferring custody of arrested individuals.
11-13 11 24-3,Placement Facility,A facility within a police station used for housing and caring for arrested individuals.
11-13 11 27,Post Office,A facility that houses a post office and provides mail services to the public.
11-13 11 31,Fire Station,A facility that houses a fire department and provides emergency response services.
