﻿Asset Category,Equip Name ID,Trade,Precon System,Operations System,Title,Drawing Abbreviation,Precon Tag,System Type ID,Sub System Type,Sub System ID,Sub System Class,Class ID,Equipment Size,Unit,Service Maintenance Hrs,Service Life
Fixture,FIX,PL,Fixtures,Fixtures,Access Panel,AP,Other,P,Other,OTH,Access Panel,AP,0,N/A,0.5,25
Tank,TNK,PL,Sanitary Equipment,Sanitary Waste,Acid Neutralization Tank,ANT,Other,P,Acid Neutralization,NEU,All,,2,INCHES,0,15
Tank,TNK,PL,Sanitary Equipment,Sanitary Waste,Acid Neutralization Tank,ANT,Other,P,Acid Neutralization,NEU,All,,4,INCHES,0,15
Tank,TNK,PL,Sanitary Equipment,Sanitary Waste,Acid Neutralization Tank,ANT,Other,P,Acid Neutralization,NEU,All,,6,INCHES,0,15
Fixture,FIX,PL,Fixtures,Fixtures,Air Admittance Valve,AAV,WV,P,Waste & Vent,WV,Air Admittance Valve,AAV,0,N/A,0.5,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Receiver,RCV,5,HP,5,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Receiver,RCV,15,HP,6,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Receiver,RCV,50,HP,8,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Receiver,RCV,100,HP,12,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Receiver,RCV,250,HP,20,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Screw,SCW,15,HP,6,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Screw,SCW,50,HP,8,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Screw,SCW,100,HP,12,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Air Cooled,AIR,Screw,SCW,250,HP,20,15
Air Compressor,AC,PL,Medical/Lab Gas Plant,Medical/Lab Gas,Air Compressor,AC,COMP,P,Water Cooled,WTR,Centrifugal,CNT,250,HP,32,15
