UniFormat Code,UniFormat Title,MasterFormat Number,Description
D10,CONVEYING,14 00 00,
D1010,Vertical Conveying Systems,,
D1010.10,Elevators,14 20 00,"Includes: Passenger and freight elevators of all types, including cars, enclosures, controls, safety equipment, hoistway equipment, and elevator machinery. Includes associated metal fabrications including pit ladders."
D1010.20,Lifts,14 40 00,Includes: Vertical or inclined lifts and related equipment for a variety of purposes. Sidewalk lifts include doors.
D1010.30,Escalators,14 31 00,"Includes: Passenger conveying systems composed of moving treads installed in inclined position including associated components, hardware, controls, safety equipment, and related items."
D1010.50,Dumbwaiters,14 10 00,"Includes: Packaged and field assembled, motorized and hand- operated dumbwaiters including associated components for book lifts, cart lifts, and other applications. Systems include associated components, hardware, controls, and safety equipment."
D1010.60,Moving Ramps,14 33 00,"Includes: Passenger conveying systems composed of moving belts installed in inclined position including associated components, hardware, controls, safety equipment, and related items."
D1030,Horizontal Conveying,,
D1030.10,Moving Walks,14 32 00,"Includes: Passenger conveying systems composed of moving belts installed in horizontal position including associated components, hardware, controls, safety equipment, and related items."
D1030.30,Turntables,14 70 00,Includes: Structural turntables for various applications.
D1030.50,Passenger Loading Bridges,34 77 13,Includes: Operating bridges for loading and unloading of passengers to and from aircraft and ships.
D1030.70,People Movers,,
D1050,Material Handling,,
D1050.10,Cranes,41 22 13,"Includes: Hoisting towers, cranes, crane rails, and related accessories."
D1050.20,Hoists,41 22 23,Includes: Manual and motor operated hoists and related accessories.
D1050.30,Derricks,41 22 33,Includes: Manual and motor operated derricks and related accessories.
D1050.40,Conveyors,41 21 00,"Includes: Automatic guided vehicles, conveyors, diverters, and chutes. Includes controls and accessories."
D1050.50,Baggage Handling Equipment,34 77 16,"Includes: Operating equipment for handling, scanning, and weighing of baggage at terminals. Includes controls and accessories."
D1050.60,Chutes,14 91 00,Includes: Chutes which support the operation of the building or structure.
D1050.70,Pneumatic Tube Systems,14 92 00,Includes: Pneumatically operated tube system for the delivery of small items within a facility. Includes controls and accessories.
D1080,Operable Access Systems,,
D1080.10,Suspended Scaffolding,14 81 00,Includes: Suspended scaffolding when part of the completed project.
D1080.20,Rope Climbers,14 82 00,Includes: Powered rope climbers to access exterior façade.
D1080.30,Elevating Platforms,14 83 00,Includes: Fixed elevating platforms to provide a movable elevated working platform for people and materials.
D1080.40,Powered Scaffolding,14 84 00,Includes: Powered scaffolding when part of the completed project.
D1080.50,Building Envelope Access,,
D20,PLUMBING,22 00 00,
D2010,Domestic Water Distribution,22 11 00,Includes: Facility domestic water distribution system. Include Domestic Water Distribution Supplementary Components as appropriate.
D2010.10,Facility Potable-Water Storage Tanks,22 12 00,"Includes: Tanks for storage of potable water serving a facility and located within, on, under, or closely associated with a structure."
D2010.20,Domestic Water Equipment,,Includes: Equipment for domestic water distribution system.
D2010.40,Domestic Water Piping,22 11 16,"Includes: Piping, valves, and specialties associated with domestic water distribution located within, under, or closely associated with a structure. Includes circulating pumps. May Include: Water service from the structure to the utility water service line."
D2010.60,Plumbing Fixtures,22 40 00,"Includes: Terminal devices on the domestic water plumbing system. Includes rough-in piping, trim, fittings, and connection to vent piping."
D2010.90,Domestic Water Distribution Supplementary Components,,"Includes: Common work results for plumbing, plumbing insulation, and instrumentation and"
D2020,Sanitary Drainage,22 13 00,"Includes: Facility sanitary sewerage system located within, under, or closely associated with a structure. Include Sanitary Drainage Supplementary Components as appropriate."
D2020.10,Sanitary Sewerage Equipment,,"Includes: Interceptor, separator, pumps, and septic tanks that are part of facility sanitary sewerage system."
D2020.30,Sanitary Sewerage Piping,,Includes: Sanitary waste and vent piping system within and under structures. May Include: Sanitary piping from the structure to the utility sanitary sewer.
D2020.90,Sanitary Drainage Supplementary Components,,"Includes: Common work results for plumbing, plumbing insulation, and instrumentation and control for plumbing to be included with sanitary drainage elements above as appropriate."
D2030,Building Support Plumbing Systems,22 14 00,Includes: Facility stormwater drainage and gray water systems. Include Building Support Plumbing System Supplementary Components as appropriate.
D2030.10,Stormwater Drainage Equipment,,"Includes: Drainage pumps, and sump pumps that are part of stormwater drainage system."
D2030.20,Stormwater Drainage Piping,22 14 13,"Includes: Storm drainage piping system within, under, or closely associated with a structure. Includes storm drains for areas closely associated with a structure such as courtyards, plazas, and loading dock areas. May Include: Storm drainage piping from the structure to the utility storm drain."
D2030.30,Facility Stormwater Drains,22 14 26,Includes: Various types of drains to collect storm water.
D2030.60,Gray Water Systems,,"Includes: Systems to collect, treat, and distribute gray water for other uses such as irrigation."
D2030.90,Building Support Plumbing System Supplementary Components,,"Includes: Common work results for plumbing, plumbing insulation, and instrumentation and control for plumbing to be included with building support plumbing system elements above as appropriate."
D2050,General Service Compressed-Air,22 15 00,Includes: Compressed air system serving general service requirements
D2060,Process Support Plumbing Systems,,Includes: Process Support Plumbing System Supplementary Components as appropriate.
D2060.10,Compressed-Air Systems,22 61 00,Includes: Compressed-air systems for laboratory and healthcare purposes.
